,VIS_ 2016,Fav_2016,VIS_ 2017,Fav_2017, VIS_2018,Fav_2018,VIS_ 2019,Fav_2019,Fav_2020
156,0,0,0,0,0,0,0,0,0
157,0,0,0,0,0,0,0,0,0
158,0,0,0,0,1,1,1,1,1
159,0,0,0,0,0,0,0,0,0
160,0,0,0,0,0,0,0,0,0
161,1,0,1,1,1,1,1,1,0
162,0,0,0,0,1,1,1,1,0
163,0,0,0,0,1,0,1,0,0
164,0,0,0,0,0,0,1,0,1
165,0,0,0,0,0,0,1,0,1
166,0,0,0,0,0,0,1,1,1
167,0,0,0,0,0,0,0,0,0
168,0,0,0,0,0,0,0,0,0
169,0,0,0,0,0,0,0,0,0
170,0,0,0,0,0,0,0,0,0
171,0,0,0,0,0,0,0,0,0
172,0,0,0,0,0,0,0,0,0
173,0,0,1,0,1,0,0,0,0
174,0,0,1,0,0,0,1,0,0
175,0,0,0,0,0,0,0,0,0
176,0,0,0,0,0,0,0,0,0
177,0,0,0,0,0,0,0,0,0
178,0,0,0,0,0,0,0,0,0
179,0,0,0,0,0,0,0,0,0
180,0,0,0,0,0,0,1,0,1
181,0,0,0,0,0,0,0,0,0
182,0,0,0,0,0,0,0,0,0
183,0,0,0,0,0,0,0,0,0
184,0,0,0,0,0,0,0,0,0
185,1,1,0,0,0,0,1,1,0
186,1,0,0,0,0,0,0,0,0
187,0,0,0,0,0,0,0,0,1
188,0,0,0,0,0,0,0,0,0
189,1,0,0,0,0,0,1,1,0
190,0,0,0,0,0,0,1,0,0
191,0,0,0,0,0,0,0,0,1
192,0,0,0,0,0,0,0,0,0
193,0,0,0,0,1,0,0,0,0
194,1,1,1,1,0,0,0,0,1
195,0,0,0,0,0,0,1,1,0
196,0,0,0,0,0,0,0,0,1
197,0,0,0,0,0,0,0,0,0
198,0,0,0,0,0,0,0,0,0
199,0,0,0,0,0,0,1,0,0
200,0,0,0,0,0,0,1,0,1
201,0,0,0,0,0,0,0,0,1
202,0,0,0,0,0,0,0,0,0
203,0,0,0,0,1,1,1,1,1
204,0,0,0,0,0,0,0,0,0
205,1,0,0,0,0,0,1,1,0
206,0,0,1,1,0,0,1,1,1
207,0,0,0,0,0,0,0,0,0
208,0,0,0,0,0,0,0,0,0
209,1,0,0,0,0,0,0,0,1
210,0,0,1,1,0,0,1,1,1
211,0,0,1,0,1,0,1,0,0
212,0,0,0,0,0,0,0,0,0
213,0,0,1,1,0,0,1,0,1
214,1,1,0,0,0,0,0,0,1
215,0,0,0,0,0,0,0,0,0
216,0,0,0,0,0,0,0,0,0
217,0,0,0,0,0,0,0,0,0
218,0,0,1,1,0,0,1,1,1
219,0,0,1,0,1,1,0,0,1
220,1,0,0,0,0,0,1,1,1
221,0,0,0,0,1,0,0,0,0
222,0,0,0,0,0,0,0,0,0
223,0,0,0,0,0,0,0,0,0
224,0,0,0,0,0,0,0,0,0
225,0,0,0,0,0,0,1,0,0
226,0,0,0,0,0,0,1,1,0
227,0,0,0,0,0,0,0,0,0
228,0,0,0,0,0,0,1,1,0
229,0,0,1,1,0,0,0,0,1
230,0,0,0,0,0,0,0,0,0
231,0,0,1,0,0,0,0,0,1
232,0,0,0,0,0,0,0,0,0
233,0,0,0,0,1,1,0,0,1
234,0,0,0,0,1,1,0,0,1
235,0,0,1,1,0,0,0,0,1
236,0,0,0,0,0,0,0,0,0
237,0,0,0,0,0,0,0,0,0
238,0,0,0,0,0,0,0,0,1
239,0,0,1,0,0,0,0,0,0
240,0,0,1,0,0,0,0,0,0
241,0,0,0,0,0,0,0,0,0
242,0,0,0,0,0,0,0,0,0
243,1,0,1,1,0,0,0,0,1
244,0,0,0,0,0,0,1,0,0
245,0,0,0,0,0,0,1,1,0
246,1,0,0,0,0,0,0,0,0
247,1,1,0,0,1,0,0,0,1
248,1,1,0,0,0,0,0,0,1
249,1,1,0,0,0,0,1,1,1
250,1,1,0,0,0,0,1,1,1
251,1,0,0,0,0,0,0,0,1
252,1,1,0,0,1,1,1,1,1
253,1,0,0,0,0,0,0,0,0
254,1,0,1,1,0,0,0,0,1
255,1,0,0,0,1,1,1,1,1
256,1,1,0,0,0,0,1,0,0
257,1,1,1,1,0,0,1,1,1
258,0,0,1,1,0,0,1,1,1
259,1,1,1,1,0,0,1,1,1
260,1,1,0,0,0,0,0,0,0
261,1,1,1,0,1,1,1,0,1
262,1,1,0,0,1,1,0,0,1
263,1,0,0,0,0,0,0,0,0
264,1,0,1,1,1,1,1,1,1
265,1,1,1,1,1,1,1,1,1
266,1,0,1,1,0,0,1,1,1
267,1,0,0,0,0,0,1,1,1
268,1,1,1,1,0,0,0,0,1
269,1,0,0,0,0,0,0,0,0
270,0,0,1,0,0,0,0,0,0
271,0,0,1,0,0,0,1,1,1
272,0,0,1,0,1,1,1,0,1
273,0,0,1,1,1,1,1,1,1
274,0,0,1,1,1,1,1,0,1
275,1,0,1,1,0,0,1,1,1
276,0,0,1,0,1,1,1,1,1
277,0,0,1,1,0,0,1,0,0
278,0,0,1,0,1,0,0,0,0
279,0,0,1,1,0,0,0,0,1
280,0,0,1,1,0,0,0,0,0
281,0,0,1,0,1,1,0,0,1
282,0,0,1,1,1,1,0,0,1
283,0,0,1,1,0,0,1,0,1
284,0,0,1,0,0,0,0,0,0
285,0,0,1,0,0,0,0,0,0
286,0,0,1,0,1,1,1,1,0
287,1,0,0,0,0,0,0,0,1
288,1,1,0,0,0,0,0,0,1
289,1,1,0,0,0,0,0,0,1
290,1,1,0,0,0,0,0,0,1
291,0,0,1,1,1,1,0,0,1
292,0,0,1,0,0,0,1,1,0
293,0,0,1,0,0,0,1,1,0
294,0,0,1,0,0,0,0,0,0
295,0,0,1,0,1,0,0,0,0
