,Fav_2016,Fav_2017,Fav_2018,Fav_2019,Apertura_2020
263,0,0,0,0,1
264,0,1,1,1,1
265,1,1,1,1,0
266,0,1,0,1,0
267,0,0,0,1,0
268,1,1,0,0,1
269,0,0,0,0,0
270,0,0,0,0,1
271,0,0,0,1,0
272,0,0,1,0,1
273,0,1,1,1,1
274,0,1,1,0,0
275,0,1,0,1,1
276,0,0,1,1,1
277,0,1,0,0,0
278,0,0,0,0,1
279,0,1,0,0,0
280,0,1,0,0,0
281,0,0,1,0,1
282,0,1,1,0,1
283,0,1,0,0,0
284,0,0,0,0,1
285,0,0,0,0,0
286,0,0,1,1,1
287,0,0,0,0,1
288,1,0,0,0,1
289,1,0,0,0,0
290,1,0,0,0,1
291,0,1,1,0,0
292,0,0,0,1,1
293,0,0,0,1,0
294,0,0,0,0,1
295,0,0,0,0,1
